idcaja_cierre#fecha_creado#creado_por#fecha_inicio#fecha_fin#estado#fk_idusuario#maquina
1#2023-01-18 11:05:19.4#PROGRAMADOR ADMIN#2023-01-17 12:35:47#2023-01-18 11:04:37#CERRADO#1#PC2
173#2023-03-17 21:53:21.674#LUCY#2023-03-17 13:55:10#2023-03-17 21:53:12#CERRADO#11#PC2
174#2023-03-18 05:55:21.076#CARLOS#2023-03-17 21:54:19#2023-03-18 05:36:53#CERRADO#12#PC2
175#2023-03-18 13:58:03.605#JUAN#2023-03-18 05:58:35#2023-03-18 13:51:26#CERRADO#10#PC2
176#2023-03-18 21:52:29.034#LUCY#2023-03-18 14:00:46#2023-03-18 21:52:03#CERRADO#11#PC2
177#2023-03-19 05:50:35.35#CARLOS#2023-03-18 21:53:22#2023-03-19 05:38:30#CERRADO#12#PC2
178#2023-03-19 17:56:18.609#LUCY#2023-03-19 05:52:34#2023-03-19 17:48:07#CERRADO#11#PC2
179#2023-03-20 05:50:30.037#JUAN#2023-03-19 17:57:19#2023-03-20 05:46:43#CERRADO#10#PC2
180#2023-03-20 17:57:06.77#LUCY#2023-03-20 05:57:19#2023-03-20 17:37:38#CERRADO#11#PC2
181#2023-03-21 05:54:09.847#JUAN#2023-03-20 17:58:00#2023-03-21 05:51:49#CERRADO#10#PC2
182#2023-03-21 18:02:48.425#LUCY#2023-03-21 05:57:02#2023-03-21 17:45:16#CERRADO#11#PC2
183#2023-03-22 05:55:51.614#JUAN#2023-03-21 18:03:41#2023-03-22 05:55:42#CERRADO#10#PC2
184#2023-03-22 13:57:03.052#LUCY#2023-03-22 05:57:59#2023-03-22 13:53:19#CERRADO#11#PC2
185#2023-03-22 21:55:38.644#CARLOS#2023-03-22 13:57:54#2023-03-22 21:47:11#CERRADO#12#PC2
186#2023-03-23 05:55:57.311#JUAN#2023-03-22 21:56:46#2023-03-23 05:49:28#CERRADO#10#PC2
187#2023-03-23 13:53:51.925#LUCY#2023-03-23 05:57:30#2023-03-23 13:32:38#CERRADO#11#PC2
188#2023-03-23 21:54:52.53#CARLOS#2023-03-23 13:55:24#2023-03-23 21:52:39#CERRADO#12#PC2
189#2023-03-24 05:49:55.56#JUAN#2023-03-23 21:56:28#2023-03-24 05:47:47#CERRADO#10#PC2
190#2023-03-24 13:57:31.077#LUCY#2023-03-24 05:56:27#2023-03-24 13:02:51#CERRADO#11#PC2
191#2023-03-24 21:56:46.913#CARLOS#2023-03-24 13:58:27#2023-03-24 21:51:42#CERRADO#12#PC2
192#2023-03-25 05:50:47.776#JUAN#2023-03-24 21:58:04#2023-03-25 05:48:10#CERRADO#10#PC2
193#2023-03-25 13:55:27.516#LUCY#2023-03-25 05:54:56#2023-03-25 13:45:54#CERRADO#11#PC2
194#2023-03-25 21:57:41.272#CARLOS#2023-03-25 13:56:22#2023-03-25 21:49:50#CERRADO#12#PC2
195#2023-03-26 05:55:40.122#JUAN#2023-03-25 22:00:27#2023-03-26 05:51:37#CERRADO#10#PC2
196#2023-03-26 17:51:01.232#LUCY#2023-03-26 05:57:50#2023-03-26 17:50:54#CERRADO#11#PC2
197#2023-03-27 05:56:54.602#CARLOS#2023-03-26 17:52:03#2023-03-27 04:57:53#CERRADO#12#PC2
198#2023-03-27 13:56:02.471#LUCY#2023-03-27 05:58:24#2023-03-27 13:53:42#CERRADO#11#PC2
199#2023-03-27 21:54:08.436#JUAN#2023-03-27 13:58:16#2023-03-27 21:52:47#CERRADO#10#PC2
200#2023-03-28 05:58:00.888#CARLOS#2023-03-27 21:55:03#2023-03-28 05:49:20#CERRADO#12#PC2
201#2023-03-28 13:55:26.999#LUCY#2023-03-28 05:58:53#2023-03-28 13:46:35#CERRADO#11#PC2
202#2023-03-28 21:58:14.834#JUAN#2023-03-28 13:56:19#2023-03-28 21:44:45#CERRADO#10#PC2
203#2023-03-29 05:54:04.432#CARLOS#2023-03-28 21:59:21#2023-03-29 05:36:55#CERRADO#12#PC2
204#2023-03-29 13:55:21.964#LUCY#2023-03-29 05:56:29#2023-03-29 11:43:31#CERRADO#11#PC2
205#2023-03-29 21:54:24.714#JUAN#2023-03-29 13:56:36#2023-03-29 21:52:42#CERRADO#10#PC2
206#2023-03-30 05:53:28.134#CARLOS#2023-03-29 21:55:41#2023-03-30 05:23:18#CERRADO#12#PC2
207#2023-03-30 13:56:35.078#LUCY#2023-03-30 06:33:32#2023-03-30 13:26:45#CERRADO#11#PC2
208#2023-03-30 21:57:55.073#JUAN#2023-03-30 14:14:38#2023-03-30 21:35:34#CERRADO#10#PC2
209#2023-03-31 05:52:30.91#CARLOS#2023-03-30 05:55:44#2023-03-31 05:12:14#CERRADO#12#PC2
210#2023-03-31 13:53:56.712#LUCY#2023-03-30 14:01:58#2023-03-31 13:52:01#CERRADO#11#PC2
211#2023-03-31 21:57:56.73#JUAN#2023-03-31 13:55:08#2023-03-31 21:57:44#CERRADO#10#PC2
212#2023-04-01 05:52:29.107#CARLOS#2023-03-31 21:59:06#2023-04-01 05:42:02#CERRADO#12#PC2
213#2023-04-01 13:59:22.253#LUCY#2023-04-01 05:55:23#2023-04-01 13:53:15#CERRADO#11#PC2
214#2023-04-01 21:54:56.494#JUAN#2023-04-01 14:00:39#2023-04-01 21:52:19#CERRADO#10#PC2
215#2023-04-02 05:55:52.869#CARLOS#2023-04-01 21:56:10#2023-04-02 05:46:12#CERRADO#12#PC2
216#2023-04-02 17:56:29.58#LUCY#2023-04-02 05:56:55#2023-04-02 17:53:23#CERRADO#11#PC2
217#2023-04-03 05:58:06.858#JUAN#2023-04-02 17:57:30#2023-04-03 05:36:27#CERRADO#10#PC2
218#2023-04-03 13:54:21.668#CARLOS#2023-04-03 05:59:35#2023-04-03 13:46:34#CERRADO#12#PC2
219#2023-04-03 21:54:24.455#LUCY#2023-04-03 13:56:20#2023-04-03 21:50:41#CERRADO#11#PC2
220#2023-04-04 05:57:42.141#CARLOS#2023-04-03 21:55:25#2023-04-04 05:10:44#CERRADO#12#PC2
221#2023-04-04 18:00:01.165#LUCY#2023-04-04 05:58:27#2023-04-04 17:54:50#CERRADO#11#PC2
222#2023-04-05 05:57:58.61#CARLOS#2023-04-04 18:00:51#2023-04-05 05:57:22#CERRADO#12#PC2
223#2023-04-05 13:57:59.956#LUCY#2023-04-05 05:59:05#2023-04-05 13:40:38#CERRADO#11#PC2
224#2023-04-05 21:57:09.502#CARLOS#2023-04-05 13:58:40#2023-04-05 21:00:37#CERRADO#12#PC2
225#2023-04-06 05:56:10.936#JUAN#2023-04-05 22:00:25#2023-04-06 05:55:09#CERRADO#10#PC2
226#2023-04-06 13:54:57.325#JUAN#2023-04-06 05:57:16#2023-04-06 13:03:56#CERRADO#10#PC2
227#2023-04-06 21:55:38.58#LUCY#2023-04-06 13:57:39#2023-04-06 21:54:07#CERRADO#11#PC2
