idcaja_cierre_item#fecha_creado#creado_por#fk_idcaja_cierre#fk_idcaja_cierre_detalle#maquina
6360#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#1#PC2
6361#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#2#PC2
6362#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#3#PC2
6363#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#4#PC2
6364#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#5#PC2
6365#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#6#PC2
6366#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#7#PC2
6515#2023-01-20 06:04:18.949122#CARLOS#7#157#PC2
6516#2023-01-20 06:04:18.949122#CARLOS#7#158#PC2
6517#2023-01-20 06:04:18.949122#CARLOS#7#159#PC2
6518#2023-01-20 06:04:18.949122#CARLOS#7#160#PC2
6519#2023-01-20 06:04:18.949122#CARLOS#7#161#PC2
6520#2023-01-20 06:04:18.949122#CARLOS#7#162#PC2
6521#2023-01-20 06:04:18.949122#CARLOS#7#163#PC2
6522#2023-01-20 06:04:18.949122#CARLOS#7#164#PC2
6523#2023-01-20 06:04:18.949122#CARLOS#7#165#PC2
6524#2023-01-20 06:04:18.949122#CARLOS#7#166#PC2
6525#2023-01-20 06:04:18.949122#CARLOS#7#167#PC2
6526#2023-01-20 06:04:18.949122#CARLOS#7#168#PC2
6527#2023-01-20 06:04:18.949122#CARLOS#7#169#PC2
6528#2023-01-20 06:04:18.949122#CARLOS#7#170#PC2
6529#2023-01-20 06:04:18.949122#CARLOS#7#171#PC2
6530#2023-01-20 06:04:18.949122#CARLOS#7#172#PC2
6531#2023-01-20 06:04:18.949122#CARLOS#7#173#PC2
6532#2023-01-20 06:04:18.949122#CARLOS#7#174#PC2
6533#2023-01-20 06:04:18.949122#CARLOS#7#175#PC2
6534#2023-01-20 06:04:18.949122#CARLOS#7#176#PC2
6535#2023-01-20 06:04:18.949122#CARLOS#7#177#PC2
6536#2023-01-20 06:04:18.949122#CARLOS#7#178#PC2
6537#2023-01-20 06:04:18.949122#CARLOS#7#179#PC2
6538#2023-01-20 13:47:24.311264#JUAN#8#180#PC2
6539#2023-01-20 13:47:24.311264#JUAN#8#181#PC2
6540#2023-01-20 13:47:24.311264#JUAN#8#182#PC2
6541#2023-01-20 13:47:24.311264#JUAN#8#183#PC2
6542#2023-01-20 13:47:24.311264#JUAN#8#184#PC2
6543#2023-01-20 13:47:24.311264#JUAN#8#185#PC2
6544#2023-01-20 13:47:24.311264#JUAN#8#186#PC2
6545#2023-01-20 13:47:24.311264#JUAN#8#187#PC2
6546#2023-01-20 13:47:24.311264#JUAN#8#188#PC2
6547#2023-01-20 21:54:41.306938#LUCY#9#189#PC2
6548#2023-01-20 21:54:41.306938#LUCY#9#190#PC2
6549#2023-01-20 21:54:41.306938#LUCY#9#191#PC2
6551#2023-01-20 21:54:41.306938#LUCY#9#192#PC2
6552#2023-01-20 21:54:41.306938#LUCY#9#193#PC2
6553#2023-01-20 21:54:41.306938#LUCY#9#194#PC2
6554#2023-01-20 21:54:41.306938#LUCY#9#195#PC2
6555#2023-01-20 21:54:41.306938#LUCY#9#196#PC2
6556#2023-01-20 21:54:41.306938#LUCY#9#197#PC2
6557#2023-01-20 21:54:41.306938#LUCY#9#198#PC2
6558#2023-01-20 21:54:41.306938#LUCY#9#199#PC2
6559#2023-01-20 21:54:41.306938#LUCY#9#200#PC2
6560#2023-01-20 21:54:41.306938#LUCY#9#201#PC2
6561#2023-01-20 21:54:41.306938#LUCY#9#202#PC2
6562#2023-01-20 21:54:41.306938#LUCY#9#203#PC2
6563#2023-01-20 21:54:41.306938#LUCY#9#204#PC2
6564#2023-01-20 21:54:41.306938#LUCY#9#205#PC2
6565#2023-01-20 21:54:41.306938#LUCY#9#206#PC2
6566#2023-01-20 21:54:41.306938#LUCY#9#207#PC2
6567#2023-01-20 21:54:41.306938#LUCY#9#208#PC2
6569#2023-01-20 21:54:41.306938#LUCY#9#209#PC2
6570#2023-01-20 21:54:41.306938#LUCY#9#210#PC2
6571#2023-01-20 21:54:41.306938#LUCY#9#211#PC2
6572#2023-01-20 21:54:41.306938#LUCY#9#212#PC2
6573#2023-01-20 21:54:41.306938#LUCY#9#213#PC2
6574#2023-01-20 21:54:41.306938#LUCY#9#214#PC2
6575#2023-01-20 21:54:41.306938#LUCY#9#215#PC2
6576#2023-01-20 21:54:41.306938#LUCY#9#216#PC2
6577#2023-01-20 21:54:41.306938#LUCY#9#217#PC2
6578#2023-01-20 21:54:41.306938#LUCY#9#218#PC2
6579#2023-01-20 21:54:41.306938#LUCY#9#219#PC2
6580#2023-01-20 21:54:41.306938#LUCY#9#220#PC2
6581#2023-01-20 21:54:41.306938#LUCY#9#221#PC2
6582#2023-01-20 21:54:41.306938#LUCY#9#222#PC2
6583#2023-01-20 21:54:41.306938#LUCY#9#223#PC2
6584#2023-01-20 21:54:41.306938#LUCY#9#224#PC2
6585#2023-01-20 21:54:41.306938#LUCY#9#225#PC2
6586#2023-01-20 21:54:41.306938#LUCY#9#226#PC2
6587#2023-01-20 21:54:41.306938#LUCY#9#227#PC2
6550#2023-01-20 21:54:41.306938#LUCY#9#228#PC2
6568#2023-01-20 21:54:41.306938#LUCY#9#229#PC2
6588#2023-01-20 21:54:41.306938#LUCY#9#230#PC2
6589#2023-01-20 21:54:41.306938#LUCY#9#231#PC2
6590#2023-01-20 21:54:41.306938#LUCY#9#232#PC2
6591#2023-01-21 05:59:49.734768#CARLOS#10#233#PC2
6592#2023-01-21 05:59:49.734768#CARLOS#10#234#PC2
6593#2023-01-21 05:59:49.734768#CARLOS#10#235#PC2
6594#2023-01-21 05:59:49.734768#CARLOS#10#236#PC2
6595#2023-01-21 05:59:49.734768#CARLOS#10#237#PC2
6596#2023-01-21 05:59:49.734768#CARLOS#10#238#PC2
6597#2023-01-21 05:59:49.734768#CARLOS#10#239#PC2
6598#2023-01-21 05:59:49.734768#CARLOS#10#240#PC2
6599#2023-01-21 05:59:49.734768#CARLOS#10#241#PC2
6600#2023-01-21 05:59:49.734768#CARLOS#10#242#PC2
6601#2023-01-21 05:59:49.734768#CARLOS#10#243#PC2
6602#2023-01-21 05:59:49.734768#CARLOS#10#244#PC2
6603#2023-01-21 05:59:49.734768#CARLOS#10#245#PC2
6604#2023-01-21 05:59:49.734768#CARLOS#10#246#PC2
6605#2023-01-21 05:59:49.734768#CARLOS#10#247#PC2
6606#2023-01-21 05:59:49.734768#CARLOS#10#248#PC2
6607#2023-01-21 05:59:49.734768#CARLOS#10#249#PC2
6608#2023-01-21 05:59:49.734768#CARLOS#10#250#PC2
6609#2023-01-21 05:59:49.734768#CARLOS#10#251#PC2
6610#2023-01-21 05:59:49.734768#CARLOS#10#252#PC2
6611#2023-01-21 05:59:49.734768#CARLOS#10#253#PC2
6612#2023-01-21 05:59:49.734768#CARLOS#10#254#PC2
6613#2023-01-21 05:59:49.734768#CARLOS#10#255#PC2
6614#2023-01-21 05:59:49.734768#CARLOS#10#256#PC2
6615#2023-01-21 05:59:49.734768#CARLOS#10#257#PC2
6616#2023-01-21 05:59:49.734768#CARLOS#10#258#PC2
6617#2023-01-21 05:59:49.734768#CARLOS#10#259#PC2
6618#2023-01-21 05:59:49.734768#CARLOS#10#260#PC2
6619#2023-01-21 05:59:49.734768#CARLOS#10#261#PC2
6620#2023-01-21 05:59:49.734768#CARLOS#10#262#PC2
6621#2023-01-21 05:59:49.734768#CARLOS#10#263#PC2
6622#2023-01-21 05:59:49.734768#CARLOS#10#264#PC2
6623#2023-01-21 05:59:49.734768#CARLOS#10#265#PC2
6624#2023-01-21 05:59:49.734768#CARLOS#10#266#PC2
6625#2023-01-21 05:59:49.734768#CARLOS#10#267#PC2
6626#2023-01-21 05:59:49.734768#CARLOS#10#268#PC2
6627#2023-01-21 05:59:49.734768#CARLOS#10#269#PC2
6628#2023-01-21 05:59:49.734768#CARLOS#10#270#PC2
6629#2023-01-21 05:59:49.734768#CARLOS#10#271#PC2
6648#2023-01-21 13:58:51.538386#JUAN#11#272#PC2
6630#2023-01-21 13:58:51.538386#JUAN#11#273#PC2
6631#2023-01-21 13:58:51.538386#JUAN#11#274#PC2
6632#2023-01-21 13:58:51.538386#JUAN#11#275#PC2
6633#2023-01-21 13:58:51.538386#JUAN#11#276#PC2
6634#2023-01-21 13:58:51.538386#JUAN#11#277#PC2
6635#2023-01-21 13:58:51.538386#JUAN#11#278#PC2
6636#2023-01-21 13:58:51.538386#JUAN#11#279#PC2
6637#2023-01-21 13:58:51.538386#JUAN#11#280#PC2
6638#2023-01-21 13:58:51.538386#JUAN#11#281#PC2
6639#2023-01-21 13:58:51.538386#JUAN#11#282#PC2
6640#2023-01-21 13:58:51.538386#JUAN#11#283#PC2
6641#2023-01-21 13:58:51.538386#JUAN#11#284#PC2
